year,month,day,predicted temperature(C)
2024,2,11,30.834438865267234
2024,2,12,30.964645181609797
2024,2,13,30.93547044698004
2024,2,14,30.995883079665166
2024,2,15,30.936502028692853
2024,2,16,31.01670834503541
2024,2,17,31.077120977720536
2024,2,18,31.177120977720534
2024,2,19,31.23753361040566
2024,2,20,31.24794624309078
2024,2,21,31.35835887577591
2024,2,22,31.368771508461027
2024,2,23,31.398977824803588
2024,2,24,31.33959677383127
2024,2,25,31.46980309017384
2024,2,26,31.500009406516398
2024,2,27,31.500009406516398
2024,2,28,31.540628355544083
2024,2,29,31.720834671886642
2024,3,1,31.720834671886642
2024,3,2,31.781247304571764
2024,3,3,31.802072569942016
2024,3,4,31.902072569942018
2024,3,5,31.96248520262714
2024,3,6,32.072897835312254
2024,3,7,32.13331046799738
2024,3,8,32.14372310068251
2024,3,9,32.084342049710195
2024,3,10,32.044754682395315
2024,3,11,32.124960998737876
2024,3,12,32.124960998737876
2024,3,13,32.22496099873788
2024,3,14,32.285373631423
2024,3,15,32.335373631422996
2024,3,16,32.44578626410812
2024,3,17,32.60619889679325
2024,3,18,32.736405213135804
2024,3,19,32.87702416216349
2024,3,20,32.94784942753374
2024,3,21,33.08846837656142
2024,3,22,33.15929364193167
2024,3,23,33.34991259095935
2024,3,24,33.3707378563296
2024,3,25,33.311356805357285
2024,3,26,33.21238838707009
2024,3,27,33.17280101975522
2024,3,28,33.17280101975522
2024,3,29,33.17280101975522
2024,3,30,33.17280101975522
2024,3,31,33.17280101975522
2024,4,1,33.17280101975522
2024,4,2,33.17280101975522
2024,4,3,33.17280101975522
2024,4,4,33.17280101975522
2024,4,5,33.17280101975522
2024,4,6,33.07280101975522
2024,4,7,32.92280101975523
2024,4,8,32.87280101975522
2024,4,9,32.912388387070095
2024,4,10,32.9217694380424
2024,4,11,32.891563121699846
2024,4,12,32.891563121699846
2024,4,13,32.911356805357286
2024,4,14,32.931150489014726
2024,4,15,32.931150489014726
2024,4,16,32.931150489014726
2024,4,17,32.931150489014726
2024,4,18,32.931150489014726
2024,4,19,32.931150489014726
2024,4,20,32.931150489014726
2024,4,21,32.931150489014726
2024,4,22,32.931150489014726
2024,4,23,32.78115048901472
2024,4,24,32.73115048901472
2024,4,25,32.73115048901472
2024,4,26,32.74053153998704
2024,4,27,32.71032522364448
2024,4,28,32.61032522364448
2024,4,29,32.43011890730192
2024,4,30,32.44991259095935
2024,5,1,32.48949995827423
2024,5,2,32.46867469290398
2024,5,3,32.56867469290398
2024,5,4,32.46867469290398
2024,5,5,32.50826206021886
2024,5,6,32.51867469290398
2024,5,7,32.50826206021886
2024,5,8,32.50826206021886
2024,5,9,32.48846837656142
2024,5,10,32.60826206021886
2024,5,11,32.708262060218864
2024,5,12,32.708262060218864
2024,5,13,32.56867469290398
2024,5,14,32.52908732558911
2024,5,15,32.52908732558911
2024,5,16,32.56867469290398
2024,5,17,32.56867469290398
2024,5,18,32.56867469290398
2024,5,19,32.668674692903984
2024,5,20,32.56867469290398
2024,5,21,32.56867469290398
2024,5,22,32.52908732558911
2024,5,23,32.56867469290398
2024,5,24,32.56867469290398
2024,5,25,32.56867469290398
2024,5,26,32.56867469290398
2024,5,27,32.56867469290398
2024,5,28,32.56867469290398
2024,5,29,32.56867469290398
2024,5,30,32.56867469290398
2024,5,31,32.56867469290398
2024,6,1,32.668674692903984
2024,6,2,32.768674692903986
2024,6,3,32.768674692903986
2024,6,4,32.72908732558911
2024,6,5,32.68949995827423
2024,6,6,32.68949995827423
2024,6,7,32.58949995827423
2024,6,8,32.48949995827423
2024,6,9,32.48949995827423
2024,6,10,32.52908732558911
2024,6,11,32.56867469290398
2024,6,12,32.56867469290398
2024,6,13,32.56867469290398
2024,6,14,32.56867469290398
2024,6,15,32.56867469290398
2024,6,16,32.61867469290399
2024,6,17,32.668674692903984
2024,6,18,32.768674692903986
2024,6,19,32.748881009246546
2024,6,20,32.72908732558911
2024,6,21,32.68949995827423
2024,6,22,32.68949995827423
2024,6,23,32.789499958274234
2024,6,24,32.88949995827423
2024,6,25,32.88949995827423
2024,6,26,32.94991259095935
2024,6,27,32.96032522364448
2024,6,28,32.91032522364448
2024,6,29,32.9207378563296
